INFRACAO;AMPARO_LEGAL;PROCEDIMENTO;TIPO_INFRACAO;PONTUACAO;INFRATOR;PALAVRAS_CHAVE
TRANSITAR PELA CONTRAMÃO DE DIREÇÃO EM VIAS COM DUPLO SENTIDO DE CIRCULAÇÃO, EXCETO PARA ULTRAPASSAR OUTRO VEÍCULO E APENAS PELO TEMPO NECESSÁRIO, RESPEITADA A PREFERÊNCIA DO VEÍCULO QUE TRANSITAR EM SENTIDO CONTRÁRIO;Artigos 29 e 186, I do CTB;"Lavrar o auto de infração. Possível sem abordagem. Transitar ao lado esquerdo da pista com sinalização horizontal de faixa reversível (Marcação de Faixa Reversível no contra fluxo) ou sinalizada com dispositivos de uso temporário, porém não ativada, utilizar código 606-81. Se forçar passagem entre veículos que, transitando em sentidos opostos, estejam na iminência de passar um pelo outro ao realizar operação de ultrapassagem, utilizar também código 579-70. Ultrapassar pela contramão outro veículo de forma irregular em outras situações, utilizar códigos específicos do artigo 203 do CTB. Exemplo do campo de observações: ""O veículo transitava à esquerda da via com duplo sentido de circulação, sinalizada com placa R-28, sem qualquer motivo"". Lavrar o auto de infração. Possível sem abordagem. Transitar ao lado esquerdo da pista com sinalização horizontal de faixa reversível (Marcação de Faixa Reversível no contra fluxo) ou sinalizada com dispositivos de uso temporário, porém não ativada, utilizar código 606-81. Se forçar passagem entre veículos que, transitando em sentidos opostos, estejam na iminência de passar um pelo outro ao realizar operação de ultrapassagem, utilizar também código 579-70. Ultrapassar pela contramão outro veículo de forma irregular em outras situações, utilizar códigos específicos do artigo 203 do CTB. Exemplo do campo de observações: ""O veículo transitava à esquerda da via com duplo sentido de circulação, sinalizada com placa R-28, sem qualquer motivo"". (Municipal e rodoviário).";GRAVE;5 PONTOS;CONDUTOR;transitar, contramão, direção, vias, duplo, sentido, circulação, exceto, ultrapassar, outro, veículo, apenas, tempo, necessário, respeitada, preferência, contrário
TRANSITAR PELA CONTRAMÃO DE DIREÇÃO EM VIAS COM SINALIZAÇÃO DE REGULAMENTAÇÃO DE SENTIDO ÚNICO DE CIRCULAÇÃO;Artigo 186, II do CTB;"Lavrar o auto de infração. Possível sem abordagem. Considerar infração transitar pela contramão de direção em local sinalizado com placas R-3, R-24a, R-24b ou R-33. Transitar em locais e horários não permitidos pela regulamentação sinalizados com placa R-3 com informação complementar regulamentando a circulação de espécie/categoria de veículo, utilizar código 574-61. Exemplo do campo de observações: ""Automóvel transitando no sentido oposto ao regulamentado para a via. Local sinalizado com placa R-3"". Lavrar o auto de infração. Possível sem abordagem. Considerar infração transitar pela contramão de direção em local sinalizado com placas R-3, R-24a, R-24b ou R-33. Transitar em locais e horários não permitidos pela regulamentação sinalizados com placa R-3 com informação complementar regulamentando a circulação de espécie/categoria de veículo, utilizar código 574-61. Exemplo do campo de observações: ""Automóvel transitando no sentido oposto ao regulamentado para a via. Local sinalizado com placa R-3"". (Municipal e rodoviário).";GRAVÍSSIMA;7 PONTOS;CONDUTOR;transitar, contramão, direção, vias, sinalização, regulamentação, sentido, único, circulação
TRANSITAR EM LOCAIS E HORÁRIOS NÃO PERMITIDOS PELA REGULAMENTAÇÃO ESTABELECIDA PELA AUTORIDADE COMPETENTE PARA TODOS OS TIPOS DE VEÍCULOS;Artigo 187, I do CTB e Res. 573/15, 735/18, 911/22 e 912/22 do CONTRAN;"Lavrar o auto de infração. Possível sem abordagem. Considerar infração transitar em locais e horários não permitidos pela regulamentação sinalizados com placas R-3, R-4a, R-4b, R-24a, R-25a, R-25b, R-25c, R-25d ou R-26 com informação complementar restringindo o movimento para determinado tipo de veículo ou estabelecendo local de trânsito seletivo. Considerar infração também transitar em locais e horários não permitidos pela regulamentação sinalizados com placas R-10, R-11, R-13, R-35a, R-35b, R-37, R-38 ou R-40, com ou sem informação complementar. Considerar infração também transitar em locais e horários não permitidos pela regulamentação sinalizados com placa R-39 quando se tratar de áreas de circulação restrita. Considerar infração também transitar em locais e horários não permitidos pela regulamentação sinalizados com placa R-12 quando se tratar de faixa ou pista. Considerar infração também quando a bicicleta transitar na pista em locais e horários não permitidos pela regulamentação sinalizados com placas R-36a ou R-36b. Considerar infração também quadriciclos ou triciclos de cabine fechada transitando em rodovias federais, estaduais e do Distrito Federal. Considerar infração também transitar com veículo novo inacabado, usado incompleto ou remonta em período noturno. Considerar infração também veículo ou combinação de veículo que desrespeitar a restrição de trânsito em datas, locais e horários, regulamentada em ato administrativo publicado em Diário Oficial emanado da Autoridade de Trânsito com circunscrição sobre a via. Transitar em faixa ou pista da direita em local sinalizado com placa R-39 e com Marcação de Faixa Exclusiva, utilizar códigos 568-10 (pista ou faixa da direita) ou 569-00 (pista ou faixa da esquerda). Transitar em locais e horários não permitidos pela regulamentação, se tratando de caminhão, utilizar código 574-63. Exemplo do campo de observações: ""Motocicleta transitando em local de trânsito proibido, sinalizado com a placa R-37"". NOTA DO AUTOR: o desrespeito às placas R-4a, R-4b, R-24a caracteriza infração prevista neste artigo por inclusão da ficha de fiscalização do MBFT - Manual Brasileiro de Fiscalização de Trânsito. O procedimento descrito neste enquadramento é meramente exemplificativo e não exaure e nem exclui outras situações que impliquem transitar com o veículo em locais e horários não permitidos pela regulamentação estabelecida pela autoridade competente. Lavrar o auto de infração. Possível sem abordagem. Considerar infração transitar em locais e horários não permitidos pela regulamentação sinalizados com placas R-3, R-4a, R-4b, R-24a, R-25a, R-25b, R-25c, R-25d ou R-26 com informação complementar restringindo o movimento para determinado tipo de veículo ou estabelecendo local de trânsito seletivo. Considerar infração também transitar em locais e horários não permitidos pela regulamentação sinalizados com placas R-10, R-11, R-13, R-35a, R-35b, R-37, R-38 ou R-40, com ou sem informação complementar. Considerar infração também transitar em locais e horários não permitidos pela regulamentação sinalizados com placa R-39 quando se tratar de áreas de circulação restrita. Considerar infração também transitar em locais e horários não permitidos pela regulamentação sinalizados com placa R-12 quando se tratar de faixa ou pista. Considerar infração também quando a bicicleta transitar na pista em locais e horários não permitidos pela regulamentação sinalizados com placas R-36a ou R-36b. Considerar infração também quadriciclos ou triciclos de cabine fechada transitando em rodovias federais, estaduais e do Distrito Federal. Considerar infração também transitar com veículo novo inacabado, usado incompleto ou remonta em período noturno. Considerar infração também veículo ou combinação de veículo que desrespeitar a restrição de trânsito em datas, locais e horários, regulamentada em ato administrativo publicado em Diário Oficial emanado da Autoridade de Trânsito com circunscrição sobre a via. Transitar em faixa ou pista da direita em local sinalizado com placa R-39 e com Marcação de Faixa Exclusiva, utilizar códigos 568-10 (pista ou faixa da direita) ou 569-00 (pista ou faixa da esquerda). Transitar em locais e horários não permitidos pela regulamentação, se tratando de caminhão, utilizar código 574-63. Exemplo do campo de observações: ""Motocicleta transitando em local de trânsito proibido, sinalizado com a placa R-37"". NOTA DO AUTOR: o desrespeito às placas R-4a, R-4b, R-24a caracteriza infração prevista neste artigo por inclusão da ficha de fiscalização do MBFT - Manual Brasileiro de Fiscalização de Trânsito. O procedimento descrito neste enquadramento é meramente exemplificativo e não exaure e nem exclui outras situações que impliquem transitar com o veículo em locais e horários não permitidos pela regulamentação estabelecida pela autoridade competente. (Municipal e rodoviário).";MÉDIA;4 PONTOS;CONDUTOR;transitar, locais, horários, permitidos, regulamentação, estabelecida, autoridade, competente, todos, tipos, veículos
TRANSITAR EM LOCAIS E HORÁRIOS NÃO PERMITIDOS PELA REGULAMENTAÇÃO ESTABELECIDA PELA AUTORIDADE COMPETENTE PARA TODOS OS TIPOS DE VEÍCULOS - RODÍZIO;Artigo 187, I do CTB;"Lavrar o auto de infração. Possível sem abordagem. Considerar infração transitar em locais e horários não permitidos pela regulamentação em desacordo com o disposto em legislação municipal regulamentadora de rodízio de veículos (restrições à circulação de veículos em determinado local, dia, horário, final de placa, etc.). Exemplo do campo de observações: ""Automóvel final da placa 4 transitando em dia proibido pela regulamentação municipal"". Lavrar o auto de infração. Possível sem abordagem. Considerar infração transitar em locais e horários não permitidos pela regulamentação em desacordo com o disposto em legislação municipal regulamentadora de rodízio de veículos (restrições à circulação de veículos em determinado local, dia, horário, final de placa, etc.). Exemplo do campo de observações: ""Automóvel final da placa 4 transitando em dia proibido pela regulamentação municipal"". (Municipal e rodoviário).";MÉDIA;4 PONTOS;CONDUTOR;transitar, locais, horários, permitidos, regulamentação, estabelecida, autoridade, competente, todos, tipos, veículos, rodízio
TRANSITAR EM LOCAIS E HORÁRIOS NÃO PERMITIDOS PELA REGULAMENTAÇÃO ESTABELECIDA PELA AUTORIDADE COMPETENTE - CAMINHÃO;Artigo 187, I do CTB e Res. 735/18 do CONTRAN;"Lavrar o auto de infração. Possível sem abordagem. Considerar infração transitar com caminhão em locais e horários não permitidos pela regulamentação sinalizados com placa R-9. Considerar infração também transitar com caminhão em locais e horários não permitidos sinalizados com placas R-3, R-4a, R-4b, R-24a, R-25a, R-25b, R-25c, R-25d ou R-26 com informação complementar restringindo o movimento ou estabelecendo local de trânsito seletivo. Considerar infração caminhão que transitar com PBT em desacordo com o estabelecido pela sinalização de regulamentação R-14 ou R-17 e/ou sua informação complementar. Transitar com o veículo com suas dimensões ou de sua carga superiores aos limites estabelecidos pela sinalização R-15, R16 ou R-18, utilizar código 682-32. Exemplo do campo de observações: ""Caminhão transitou em local sinalizado com a placa R-9"". NOTA DO AUTOR: o desrespeito as placas R-4a, R-4b, R-24a caracteriza infração prevista neste artigo por inclusão da ficha de fiscalização do MBFT - Manual Brasileiro de Fiscalização de Trânsito. Lavrar o auto de infração. Possível sem abordagem. Considerar infração transitar com caminhão em locais e horários não permitidos pela regulamentação sinalizados com placa R-9. Considerar infração também transitar com caminhão em locais e horários não permitidos sinalizados com placas R-3, R-4a, R-4b, R-24a, R-25a, R-25b, R-25c, R-25d ou R-26 com informação complementar restringindo o movimento ou estabelecendo local de trânsito seletivo. Considerar infração caminhão que transitar com PBT em desacordo com o estabelecido pela sinalização de regulamentação R-14 ou R-17 e/ou sua informação complementar. Transitar com o veículo com suas dimensões ou de sua carga superiores aos limites estabelecidos pela sinalização R-15, R16 ou R-18, utilizar código 682-32. Exemplo do campo de observações: ""Caminhão transitou em local sinalizado com a placa R-9"". NOTA DO AUTOR: o desrespeito as placas R-4a, R-4b, R-24a caracteriza infração prevista neste artigo por inclusão da ficha de fiscalização do MBFT - Manual Brasileiro de Fiscalização de Trânsito. (Municipal e rodoviário).";MÉDIA;4 PONTOS;CONDUTOR;transitar, locais, horários, permitidos, regulamentação, estabelecida, autoridade, competente, caminhão
TRANSITAR AO LADO DE OUTRO VEÍCULO, INTERROMPENDO OU PERTURBANDO O TRÂNSITO;Artigos 26, 29 e 188 do CTB;"Lavrar o auto de infração. Possível sem abordagem. Transitar com veículo automotor de duas rodas transitando lado a lado, na mesma faixa de circulação, deixando de guardar distância de segurança lateral e frontal entre seu veículo e os demais, utilizar código 580-00. Transitar com veículo de tração/propulsão humana ou de tração animal lado a lado, na mesma faixa de circulação, deixando de conduzir pelo bordo da pista de rolamento, em fila única, utilizar códigos 720-01 ou 720-02 respectivamente. Usar qualquer veículo para, deliberadamente, interromper ou restringir ou perturbar a circulação na via sem autorização do órgão ou entidade de trânsito com circunscrição sobre ela, utilizar códigos 761-71, 761-72 ou 761-73 respectivamente. Exemplo do campo de observações: ""Condutor transitando ao lado de outro veículo, na mesma velocidade, com o propósito de causar lentidão do fluxo"". Lavrar o auto de infração. Possível sem abordagem. Transitar com veículo automotor de duas rodas transitando lado a lado, na mesma faixa de circulação, deixando de guardar distância de segurança lateral e frontal entre seu veículo e os demais, utilizar código 580-00. Transitar com veículo de tração/propulsão humana ou de tração animal lado a lado, na mesma faixa de circulação, deixando de conduzir pelo bordo da pista de rolamento, em fila única, utilizar códigos 720-01 ou 720-02 respectivamente. Usar qualquer veículo para, deliberadamente, interromper ou restringir ou perturbar a circulação na via sem autorização do órgão ou entidade de trânsito com circunscrição sobre ela, utilizar códigos 761-71, 761-72 ou 761-73 respectivamente. Exemplo do campo de observações: ""Condutor transitando ao lado de outro veículo, na mesma velocidade, com o propósito de causar lentidão do fluxo"". (Municipal e rodoviário).";MÉDIA;4 PONTOS;CONDUTOR;transitar, lado, outro, veículo, interrompendo, perturbando, trânsito
DEIXAR DE DAR PASSAGEM AOS VEÍCULOS PRECEDIDOS DE BATEDORES, QUANDO EM SERVIÇO DE URGÊNCIA E DEVIDAMENTE IDENTIFICADOS POR DISPOSITIVOS REGULAMENTADOS DE ALARME SONORO E ILUMINAÇÃO INTERMITENTE;Artigos 29 e 189 do CTB;"Lavrar o auto de infração. Possível sem abordagem. Considerar infração não imobilizar o veículo ou não deslocá-lo para a outra faixa deixando a passagem livre ou, no cruzamento, não dar prioridade de passagem. Deixar de dar passagem aos veículos de socorro de incêndio e salvamento, de polícia, de operação e fiscalização de trânsito ou ambulâncias, utilizar códigos 577-02, 577-03, 577-04 ou 577-05 respectivamente. Exemplos do campo de observações: ""O veículo não se deslocou para dar passagem ao veículo precedido de batedores, devidamente sinalizados""; ""Deixou de dar passagem a veículo com batedores devidamente sinalizados"". Lavrar o auto de infração. Possível sem abordagem. Considerar infração não imobilizar o veículo ou não deslocá-lo para a outra faixa deixando a passagem livre ou, no cruzamento, não dar prioridade de passagem. Deixar de dar passagem aos veículos de socorro de incêndio e salvamento, de polícia, de operação e fiscalização de trânsito ou ambulâncias, utilizar códigos 577-02, 577-03, 577-04 ou 577-05 respectivamente. Exemplos do campo de observações: ""O veículo não se deslocou para dar passagem ao veículo precedido de batedores, devidamente sinalizados""; ""Deixou de dar passagem a veículo com batedores devidamente sinalizados"". (Estadual, municipal e rodoviário).";GRAVÍSSIMA;7 PONTOS;CONDUTOR;deixar, dar, passagem, veículos, precedidos, batedores, serviço, urgência, devidamente, identificados, dispositivos, regulamentados, alarme, sonoro, iluminação, intermitente
DEIXAR DE DAR PASSAGEM AOS VEÍCULOS DE SOCORRO DE INCÊNDIO E SALVAMENTO, QUANDO EM SERVIÇO DE URGÊNCIA E DEVIDAMENTE IDENTIFICADOS POR DISPOSITIVOS REGULAMENTADOS DE ALARME SONORO E ILUMINAÇÃO INTERMITENTE;Artigos 29 e 189 do CTB, Res. 970/22 do CONTRAN;"Lavrar o auto de infração. Possível sem abordagem. Considerar infração não imobilizar veículo ou não deslocá-lo para a outra faixa deixando a passagem livre ou, no cruzamento, não dar prioridade de passagem. Deixar de dar passagem aos veículos precedidos de batedores, de polícia, de operação e fiscalização de trânsito ou ambulâncias, utilizar códigos 577-01, 577-03, 577-04 ou 577-05 respectivamente. Exemplo do campo de observações: ""O veículo deixou de dar passagem ao veículo do corpo de bombeiros, em serviço de urgência e devidamente sinalizado"". Lavrar o auto de infração. Possível sem abordagem. Considerar infração não imobilizar veículo ou não deslocá-lo para a outra faixa deixando a passagem livre ou, no cruzamento, não dar prioridade de passagem. Deixar de dar passagem aos veículos precedidos de batedores, de polícia, de operação e fiscalização de trânsito ou ambulâncias, utilizar códigos 577-01, 577-03, 577-04 ou 577-05 respectivamente. Exemplo do campo de observações: ""O veículo deixou de dar passagem ao veículo do corpo de bombeiros, em serviço de urgência e devidamente sinalizado"". (Estadual, municipal e rodoviário).";GRAVÍSSIMA;7 PONTOS;CONDUTOR;deixar, dar, passagem, veículos, socorro, incêndio, salvamento, serviço, urgência, devidamente, identificados, dispositivos, regulamentados, alarme, sonoro, iluminação, intermitente
DEIXAR DE DAR PASSAGEM AOS VEÍCULOS DE POLÍCIA, QUANDO EM SERVIÇO DE URGÊNCIA E DEVIDAMENTE IDENTIFICADOS POR DISPOSITIVOS REGULAMENTADOS DE ALARME SONORO E ILUMINAÇÃO INTERMITENTE;Artigos 29 e 189 do CTB;"Lavrar o auto de infração. Possível sem abordagem. Considerar infração não imobilizar veículo ou não deslocá-lo para a outra faixa deixando a passagem livre ou, no cruzamento, não dar prioridade de passagem. Deixar de dar passagem aos veículos precedidos de batedores, socorro de incêndio e salvamento, de operação e fiscalização de trânsito ou ambulâncias, utilizar códigos 577- 01, 577-02, 577-04 ou 577-05 respectivamente. Exemplo do campo de observações: ""O veículo não se deslocou para dar passagem ao veículo de polícia, em serviço de urgência e devidamente sinalizado"". Lavrar o auto de infração. Possível sem abordagem. Considerar infração não imobilizar veículo ou não deslocá-lo para a outra faixa deixando a passagem livre ou, no cruzamento, não dar prioridade de passagem. Deixar de dar passagem aos veículos precedidos de batedores, socorro de incêndio e salvamento, de operação e fiscalização de trânsito ou ambulâncias, utilizar códigos 577-01, 577-02, 577-04 ou 577-05 respectivamente. Exemplo do campo de observações: ""O veículo não se deslocou para dar passagem ao veículo de polícia, em serviço de urgência e devidamente sinalizado"". (Estadual, municipal e rodoviário).";GRAVÍSSIMA;7 PONTOS;CONDUTOR;deixar, dar, passagem, veículos, polícia, serviço, urgência, devidamente, identificados, dispositivos, regulamentados, alarme, sonoro, iluminação, intermitente
DEIXAR DE DAR PASSAGEM AOS VEÍCULOS, DE OPERAÇÃO E FISCALIZAÇÃO DE TRÂNSITO, QUANDO EM SERVIÇO DE URGÊNCIA E DEVIDAMENTE IDENTIFICADOS POR DISPOSITIVOS REGULAMENTADOS DE ALARME SONORO E ILUMINAÇÃO INTERMITENTE;Artigos 29 e 189 do CTB;"Lavrar o auto de infração. Possível sem abordagem. Considerar infração não imobilizar veículo ou não deslocá-lo para a outra faixa deixando a passagem livre ou, no cruzamento, não dar prioridade de passagem. Deixar de dar passagem aos veículos precedidos de batedores, de socorro de incêndio e salvamento, de polícia ou ambulâncias, utilizar códigos 577-01, 577-02, 577-03 ou 577-05 respectivamente. Exemplo do campo de observações: ""O veículo deixou de dar passagem ao veículo de fiscalização/operação de trânsito, em serviço de urgência e devidamente sinalizado"". Lavrar o auto de infração. Possível sem abordagem. Considerar infração não imobilizar veículo ou não deslocá-lo para a outra faixa deixando a passagem livre ou, no cruzamento, não dar prioridade de passagem. Deixar de dar passagem aos veículos precedidos de batedores, de socorro de incêndio e salvamento, de polícia ou ambulâncias, utilizar códigos 577-01, 577-02, 577-03 ou 577-05 respectivamente. Exemplo do campo de observações: ""O veículo deixou de dar passagem ao veículo de fiscalização/operação de trânsito, em serviço de urgência e devidamente sinalizado"". (Estadual, municipal e rodoviário).";GRAVÍSSIMA;7 PONTOS;CONDUTOR;deixar, dar, passagem, veículos, operação, fiscalização, trânsito, serviço, urgência, devidamente, identificados, dispositivos, regulamentados, alarme, sonoro, iluminação, intermitente
DEIXAR DE DAR PASSAGEM AOS VEÍCULOS AMBULÂNCIAS, QUANDO EM SERVIÇO DE URGÊNCIA E DEVIDAMENTE IDENTIFICADOS POR DISPOSITIVOS REGULAMENTADOS DE ALARME SONORO E ILUMINAÇÃO INTERMITENTE;Artigos 29 e 189 do CTB;"Lavrar o auto de infração. Possível sem abordagem. Considerar infração não imobilizar veículo ou não deslocá-lo para a outra faixa deixando a passagem livre ou, no cruzamento, não dar prioridade de passagem. Deixar de dar passagem aos veículos precedidos de batedores, de socorro de incêndio e salvamento, de polícia ou de operação e fiscalização de trânsito, utilizar códigos 577- 01, 577-02, 577-03 ou 577-04 respectivamente. Exemplo do campo de observações: ""O veículo permaneceu imóvel interrompendo a passagem de ambulância, em serviço de urgência e devidamente sinalizada"". Lavrar o auto de infração. Possível sem abordagem. Considerar infração não imobilizar veículo ou não deslocá-lo para a outra faixa deixando a passagem livre ou, no cruzamento, não dar prioridade de passagem. Deixar de dar passagem aos veículos precedidos de batedores, de socorro de incêndio e salvamento, de polícia ou de operação e fiscalização de trânsito, utilizar códigos 577-01, 577-02, 577-03 ou 577-04 respectivamente. Exemplo do campo de observações: ""O veículo permaneceu imóvel interrompendo a passagem de ambulância, em serviço de urgência e devidamente sinalizada"". (Estadual, municipal e rodoviário).";GRAVÍSSIMA;7 PONTOS;CONDUTOR;deixar, dar, passagem, veículos, ambulâncias, serviço, urgência, devidamente, identificados, dispositivos, regulamentados, alarme, sonoro, iluminação, intermitente
SEGUIR VEÍCULO EM SERVIÇO DE URGÊNCIA, ESTANDO ESTE COM PRIORIDADE DE PASSAGEM DEVIDAMENTE IDENTIFICADA POR DISPOSITIVOS REGULAMENTARES DE ALARME SONORO E ILUMINAÇÃO INTERMITENTE;Artigo 190 do CTB;"Lavrar o auto de infração. Possível sem abordagem. Exemplo do campo de observações: ""O veículo seguia ambulância com os dispositivos acionados"". NOTA DO AUTOR: não considerar infração caso o veículo que estiver seguindo esteja sendo escoltado pelo veículo de urgência. Lavrar o auto de infração. Possível sem abordagem. Exemplo do campo de observações: ""O veículo seguia ambulância com os dispositivos acionados"". NOTA DO AUTOR: não considerar infração caso o veículo que estiver seguindo esteja sendo escoltado pelo veículo de urgência. (Municipal e rodoviário).";GRAVE;5 PONTOS;CONDUTOR;seguir, veículo, serviço, urgência, estando, prioridade, passagem, devidamente, identificada, dispositivos, regulamentares, alarme, sonoro, iluminação, intermitente
FORÇAR PASSAGEM ENTRE VEÍCULOS QUE, TRANSITANDO EM SENTIDOS OPOSTOS, ESTEJAM NA IMINÊNCIA DE PASSAR UM PELO OUTRO AO REALIZAR OPERAÇÃO DE ULTRAPASSAGEM;Artigos 29, X e 191 do CTB;"Lavrar o auto de infração. Possível sem abordagem. Considerar infração mesmo que não complete a manobra de ultrapassagem. Exemplos do campo de observações: ""Veículo que transitava no sentido oposto precisou frear para não causar sinistro""; ""Veículo que transitava em sentido contrário foi obrigado a sair para o acostamento"". Lavrar o auto de infração. Possível sem abordagem. Considerar infração mesmo que não complete a manobra de ultrapassagem. Exemplos do campo de observações: ""Veículo que transitava no sentido oposto precisou frear para não causar sinistro""; ""Veículo que transitava em sentido contrário foi obrigado a sair para o acostamento"". (Municipal e rodoviário).";GRAVÍSSIMA;7 PONTOS;CONDUTOR;forçar, passagem, veículos, transitando, sentidos, opostos, iminência, passar, outro, realizar, operação, ultrapassagem
DEIXAR DE GUARDAR DISTÂNCIA DE SEGURANÇA LATERAL E FRONTAL ENTRE SEU VEÍCULO E OS DEMAIS, BEM COMO EM RELAÇÃO AO BORDO DA PISTA, CONSIDERANDO-SE, NO MOMENTO, A VELOCIDADE, AS CONDIÇÕES CLIMÁTICAS DO LOCAL, DA CIRCULAÇÃO E DO VEÍCULO;Artigos 29, II e 192 do CTB;"Lavrar o auto de infração. Possível sem abordagem. Considerar infração também motocicletas, motonetas e ciclomotores transitando entre veículos de filas adjacentes; ou entre os veículos e a calçada; ou entre veículos e o bordo da pista, estando os outros veículos em movimento ou imobilizados, colocando em risco a segurança do trânsito. Deixar de guardar distância lateral regulamentada ao passar ou ultrapassar bicicleta, utilizar código 589-40. Exemplos do campo de observações: ""Motocicleta transitou junto a outro veículo, na mesma faixa, com risco de colisão""; ""Veículo esbarrou no retrovisor de outro veículo"". Lavrar o auto de infração. Possível sem abordagem. Considerar infração também motocicletas, motonetas e ciclomotores transitando entre veículos de filas adjacentes; ou entre os veículos e a calçada; ou entre veículos e o bordo da pista, estando os outros veículos em movimento ou imobilizados, colocando em risco a segurança do trânsito. Deixar de guardar distância lateral regulamentada ao passar ou ultrapassar bicicleta, utilizar código 589-40. Exemplos do campo de observações: ""Motocicleta transitou junto a outro veículo, na mesma faixa, com risco de colisão""; ""Veículo esbarrou no retrovisor de outro veículo"". (Municipal e rodoviário).";GRAVE;5 PONTOS;CONDUTOR;deixar, guardar, distância, segurança, lateral, frontal, veículo, demais, bem, relação, bordo, pista, considerando, momento, velocidade, condições, climáticas, local, circulação
TRANSITAR COM O VEÍCULO EM CALÇADAS OU PASSEIOS;Artigos 29,V, 59, 68 e 193 do CTB;"Lavrar o auto de infração. Possível sem abordagem.Considerar infração veículo que transitar, total ou parcialmente, sobre calçada ou passeio, desde que não caracterizado pane ou defeito mecânico. Transitar pela contramão de direção sobre a calçada ou passeio em vias com duplo sentido de circulação ou com sentido único de circulação, utilizar, concomitantemente, códigos 572-00 ou 573-80 respectivamente. Executar operação de retorno passando por cima de calçada ou passeio, utilizar código 601-71. Conduzir bicicleta em passeios onde não seja permitida a circulação, utilizar código 744-71. O ciclista desmontado empurrando a bicicleta equipara-se ao pedestre em direitos e deveres. Exemplo do campo de observações: ""Transitou com duas rodas do veículo sobre a calçada"". Lavrar o auto de infração. Possível sem abordagem.Considerar infração veículo que transitar, total ou parcialmente, sobre calçada ou passeio, desde que não caracterizado pane ou defeito mecânico. Transitar pela contramão de direção sobre a calçada ou passeio em vias com duplo sentido de circulação ou com sentido único de circulação, utilizar, concomitantemente, códigos 572-00 ou 573-80 respectivamente. Executar operação de retorno passando por cima de calçada ou passeio, utilizar código 601-71. Conduzir bicicleta em passeios onde não seja permitida a circulação, utilizar código 744-71. O ciclista desmontado empurrando a bicicleta equipara-se ao pedestre em direitos e deveres. Exemplo do campo de observações: ""Transitou com duas rodas do veículo sobre a calçada"". (Municipal e rodoviário).";GRAVÍSSIMA;7 PONTOS;CONDUTOR;transitar, veículo, calçadas, passeios
TRANSITAR COM O VEÍCULO EM CICLOVIAS OU CICLOFAIXAS;Artigo 193 do CTB;"Lavrar o auto de infração. Possível sem abordagem. Considerar infração veículo motorizado (exceto bicicleta elétrica ou similar) que transitar, total ou parcialmente, por ciclovia sinalizada com R-34 ou ciclofaixa delimitada por sinalização horizontal específica, desde que não caracterizado pane ou defeito mecânico. Transitar pela contramão de direção sobre ciclovia ou ciclofaixa em vias com duplo sentido de circulação ou com sentido único de circulação, utilizar, concomitantemente, códigos 572-00 ou 573-80 respectivamente. Executar operação de retorno passando por cima de faixa de veículos não motorizados, utilizar código 601-76. Exemplo do campo de observações: ""Motocicleta transitando sobre ciclovia com sinalização horizontal e vertical em bom estado de conservação"". Lavrar o auto de infração. Possível sem abordagem. Considerar infração veículo motorizado (exceto bicicleta elétrica ou similar) que transitar, total ou parcialmente, por ciclovia sinalizada com R-34 ou ciclofaixa delimitada por sinalização horizontal específica, desde que não caracterizado pane ou defeito mecânico. Transitar pela contramão de direção sobre ciclovia ou ciclofaixa em vias com duplo sentido de circulação ou com sentido único de circulação, utilizar, concomitantemente, códigos 572-00 ou 573-80 respectivamente. Executar operação de retorno passando por cima de faixa de veículos não motorizados, utilizar código 601-76. Exemplo do campo de observações: ""Motocicleta transitando sobre ciclovia com sinalização horizontal e vertical em bom estado de conservação"". (Municipal e rodoviário).";GRAVÍSSIMA;7 PONTOS;CONDUTOR;transitar, veículo, ciclovias, ciclofaixas
TRANSITAR COM O VEÍCULO EM AJARDINAMENTOS, GRAMADOS OU JARDINS PÚBLICOS;Artigo 193 do CTB;"Lavrar o auto de infração. Possível sem abordagem. Considerar infração veículo que transitar, total ou parcialmente, sobre local público com vegetação, desde que não caracterizado pane ou defeito mecânico. Executar operação de retorno passando por cima de ajardinamento, utilizar código 601-73. Considerar ajardinamento, gramado ou jardim público mesmo que apresente apenas vestígios de vegetação e terra batida. Exemplos do campo de observações: ""O veículo transitou sobre o gramado"" ; ""O veículo transitou sobre o jardim público"". Lavrar o auto de infração. Possível sem abordagem. Considerar infração veículo que transitar, total ou parcialmente, sobre local público com vegetação, desde que não caracterizado pane ou defeito mecânico. Executar operação de retorno passando por cima de ajardinamento, utilizar código 601-73. Considerar ajardinamento, gramado ou jardim público mesmo que apresente apenas vestígios de vegetação e terra batida. Exemplos do campo de observações: ""O veículo transitou sobre o gramado"" ; ""O veículo transitou sobre o jardim público"". (Municipal e rodoviário).";GRAVÍSSIMA;7 PONTOS;CONDUTOR;transitar, veículo, ajardinamentos, gramados, jardins, públicos
